Lot,Temperature,Head Speed,Tensilt Strength,TS Deviation,Elongation,El Deviation,Youngs Modulus,Mod Deviation,Procedure,CTFE%,Mn,Mw,Mz,,,,
40-2057,40,500,9.361448333,1.536268592,117.5544283,18.52442872,0.669872318,0.122949241,"M-D, Process A",76.77,44400,114000,215000,,,,
40-2057,50,500,6.037001667,1.272389786,110.0073217,30.12551402,0.40534887,0.082034497,"M-D, Process A",76.77,44400,114000,215000,,,,
40-2057,70,500,2.572868,0.791920247,92.949556,22.3483352,0.161756498,0.05893254,"M-D, Process A",76.77,44400,114000,215000,,,,
40-2058,23,500,16.91039,1.849934492,83.301095,29.21190397,2.425866883,0.147707861,"M-C, Process A",76.64,38600,94900,173000,,,,
40-2058,40,500,4.522713333,1.104610414,229.6392917,148.8494285,0.397919367,0.10610825,"M-D, Process A",76.64,38600,94900,173000,,,,
40-2058,50,500,2.939681429,0.586099136,181.1901386,150.4698607,0.198364401,0.063782964,"M-D, Process A",76.64,38600,94900,173000,,,,
40-2058,70,500,1.292796,0.19757659,137.355116,74.41219187,0.087306894,0.030759906,"M-D, Process A",76.64,38600,94900,173000,,,,
40-2059,23,500,13.156445,1.500059183,112.555675,36.85090391,2.258613904,0.296511536,"M-C, Process A",76.49,33600,78900,137000,,,,
40-2059,40,500,1.977384286,0.283355088,518.2518286,1.114079914,0.147196194,0.031539673,"M-D, Process A",76.49,33600,78900,137000,,,,
40-2059,50,500,1.361248333,0.311632128,514.3879967,2.050811991,0.0512553,0.019726346,"M-D, Process A",76.49,33600,78900,137000,,,,
40-2059,70,500,0.76346,0.152954204,208.9053667,155.9811896,0.035710373,0.018836064,"M-D, Process A",76.49,33600,78900,137000,,,,
40-2060,23,500,21.58735143,1.923165089,59.38133143,3.699881127,2.860661974,0.093162372,"M-C, Process A",76.72,43200,105000,189000,,,,
40-2060,40,500,7.400471429,1.954611637,111.8275114,27.60760286,0.598315652,0.183197383,"M-D, Process A",76.72,43200,105000,189000,,,,
40-2060,50,500,4.675224286,0.920783511,98.40280286,17.3472763,0.304757372,0.097282338,"M-D, Process A",76.72,43200,105000,189000,,,,
40-2060,70,500,1.788191429,0.200228263,91.44712857,9.893956917,0.135465153,0.024731348,"M-D, Process A",76.72,43200,105000,189000,,,,
Lot 9,23,500,14.5584,1.7172,143.5054,18.0347,1.2485,0.1576,M-C,75.71,,,,,,,
Lot 9,40,500,6.576,1.0253,124.4766,21.9123,0.9764,0.1988,M-D,75.71,,,,,,,
Lot 9,50,500,2.7542,1.0526,276.1514,127.6912,0.5542,0.1394,M-D,75.71,,,,,,,
Lot 9,70,500,2.2862,0.2348,87.6909,19.6366,0.7634,0.1488,M-D,75.71,,,,,,,
Lot 20,23,500,14.6293,1.2869,155.3133,19.9997,1.2423,0.1313,M-C,76.17,,,,,,,
Lot 20,40,500,5.9392,1.0794,129.2336,21.783,0.8038,0.0793,M-D,76.17,,,,,,,
Lot 20,50,500,3.1709,0.4881,170.4646,47.5484,0.8767,0.1117,M-D,76.17,,,,,,,
Lot 20,70,500,1.4303,0.384,201.5287,113.3226,0.6367,0.0772,M-D,76.17,,,,,,,
Lot 21,23,500,13.0312,1.2448,159.291,19.6708,13.9553,1.6486,M-C,76.23,52105,94908,151378,,,,
Lot 21,40,500,5.0505,1.9004,225.4054,108.4272,0.8007,0.1865,M-D,76.23,52105,94908,151378,,,,
Lot 21,50,500,4.2717,1.2574,128.4838,47.9177,0.9864,0.1396,M-D,76.23,52105,94908,151378,,,,
Lot 21,70,500,2.1374,0.6793,156.8214,139.148,0.6418,0.112,M-D,76.23,52105,94908,151378,,,,
Lot 22,23,500,13.9553,1.6486,146.6955,28.8793,1.2027,0.1405,M-C,77.03,,,,,,,
Lot 22,40,500,7.708,1.5505,118.2477,24.0312,1.0189,0.2075,M-D,77.03,,,,,,,
Lot 22,50,500,3.1538,1.0097,204.1338,110.6802,0.7465,0.1523,M-D,77.03,,,,,,,
Lot 22,70,500,2.1444,0.6892,106.4716,25.859,0.6431,0.1591,M-D,77.03,,,,,,,
Lot 17,40,500,2.72798,0.274709793,470.640078,112.0760093,0.130386116,0.019101368,Process A,73.66,68282,113685,175044,,,,
Lot 17,40,500,2.441598333,0.598420026,458.9706533,101.9514046,0.131431768,0.038436833,Process B,73.66,68282,113685,175044,,,,
Lot 17,40,500,2.619738333,0.687971642,448.4694267,91.00602593,0.123659426,0.024214063,Process C,73.66,68282,113685,175044,,,,
Lot 17,40,500,2.649235,0.529823992,360.8593933,115.3055762,0.13003843,0.028843161,Process D,73.66,68282,113685,175044,,,,
Lot 17,40,500,2.930524,0.70405287,307.829606,134.2377169,0.131930469,0.045344784,Process E,73.66,68282,113685,175044,,,,
Lot 21,40,500,4.425694,0.7186719,205.911014,96.66706992,0.307557565,0.045356475,Process A,76.23,52105,94908,151378,,,,
Lot 21,40,500,3.73345,0.904753658,305.589604,172.5646094,0.263029344,0.078305156,Process B,76.23,52105,94908,151378,,,,
Lot 21,40,500,4.5969,1.230440863,234.014854,159.8750321,0.308679598,0.086331706,Process C,76.23,52105,94908,151378,,,,
Lot 21,40,500,4.48354,1.192964876,242.613566,153.86967,0.304674948,0.07706819,Process D,76.23,52105,94908,151378,,,,
Lot 21,40,500,4.79511,1.021536308,215.6490117,154.6705569,0.302790043,0.077212879,Process E,76.23,52105,94908,151378,,,,
Lot 23,40,500,5.259185714,1.588805897,197.6752871,147.6602897,0.337528127,0.100255459,Process A,78.83,81908,37812,132473,,,,
Lot 23,40,500,6.161895,1.671537027,197.609385,121.1902636,0.539378618,0.129582768,Process B,78.83,81908,37812,132473,,,,
Lot 23,40,500,5.574141429,1.962851838,199.4977686,144.2767613,0.374163967,0.147272035,Process C,78.83,81908,37812,132473,,,,
Lot 23,40,500,5.433975714,1.787434837,197.1536314,146.6667666,0.364387709,0.126124011,Process D,78.83,81908,37812,132473,,,,
Lot 23,40,500,7.950858571,2.829388841,158.8484771,133.1959313,0.610542171,0.196181232,Process E,78.83,81908,37812,132473,,,,
K705,40,500,48.523145,0.324773894,50.8204075,4.585022011,2.762353764,0.054242897,Process A,0,43800,83100,,,,,
K705,40,500,49.45893,0.317885862,50.32162,7.268065946,2.923988861,0.159019921,Process B,0,43800,83100,,,,,
K705,40,500,49.47840333,1.003034527,50.64610833,6.222853824,2.24890939,0.142545482,Process C,0,43800,83100,,,,,
K705,40,500,48.60190857,0.534439093,51.39601143,4.485969978,2.386898339,0.308129419,Process D,0,43800,83100,,,,,
K705,40,500,47.89987,1.134239367,49.76855,9.797818289,2.381847096,0.097181318,Process E,0,43800,83100,,,,,
