freq,visc
0.006170532,9543683.414
0.00729295,9543683.414
0.008619536,9454949.84
0.010140244,9367041.279
0.011929243,9279950.057
0.014164775,9193668.577
0.016586626,9023504.797
0.01960373,8856490.544
0.023169644,8692567.525
0.027131121,8531678.524
0.032066266,8218778.993
0.03772358,8066659.25
0.04458549,7626985.859
0.052940778,7077804.786
0.061992437,6692028.923
0.072929498,6152429.603
0.085796139,5398231.702
0.101402436,4692449.358
0.119847515,3966224.4
0.14033869,3290344.562
0.166638057,2556865.662
0.195129342,1968419.447
0.231696437,1473523.268
0.270054621,1072570.785
0.317699206,766269.1456
0.378991118,532312.0882
0.443789905,369786.7268
0.524515183,233974.4079
0.61705316,152249.467
0.725917217,96332.49741
0.865964323,59824.11295
1,35789.2449
